"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"3719","399","1400000US06037113101","Census Tract 1131.01, Los Angeles County, California"
"3021","206","1400000US06037113102","Census Tract 1131.02, Los Angeles County, California"
"4109","200","1400000US06037113211","Census Tract 1132.11, Los Angeles County, California"
"3494","262","1400000US06037113212","Census Tract 1132.12, Los Angeles County, California"
"5248","366","1400000US06037113213","Census Tract 1132.13, Los Angeles County, California"
"2303","129","1400000US06037113231","Census Tract 1132.31, Los Angeles County, California"
"4315","372","1400000US06037113232","Census Tract 1132.32, Los Angeles County, California"
"7345","594","1400000US06037113233","Census Tract 1132.33, Los Angeles County, California"
"4823","538","1400000US06037113234","Census Tract 1132.34, Los Angeles County, California"
"1824","223","1400000US06037113235","Census Tract 1132.35, Los Angeles County, California"
"4194","432","1400000US06037113237","Census Tract 1132.37, Los Angeles County, California"
"3509","436","1400000US06037113301","Census Tract 1133.01, Los Angeles County, California"
"4191","279","1400000US06037113303","Census Tract 1133.03, Los Angeles County, California"
"6180","653","1400000US06037113321","Census Tract 1133.21, Los Angeles County, California"
"4572","328","1400000US06037113322","Census Tract 1133.22, Los Angeles County, California"
"6550","627","1400000US06037113401","Census Tract 1134.01, Los Angeles County, California"
"6879","474","1400000US06037113421","Census Tract 1134.21, Los Angeles County, California"
"6306","600","1400000US06037113422","Census Tract 1134.22, Los Angeles County, California"
"5083","333","1400000US06037115101","Census Tract 1151.01, Los Angeles County, California"
"3381","318","1400000US06037115103","Census Tract 1151.03, Los Angeles County, California"
"4377","417","1400000US06037115104","Census Tract 1151.04, Los Angeles County, California"
"6647","669","1400000US06037115201","Census Tract 1152.01, Los Angeles County, California"
"5684","488","1400000US06037115202","Census Tract 1152.02, Los Angeles County, California"
"4524","381","1400000US06037115301","Census Tract 1153.01, Los Angeles County, California"
"3957","261","1400000US06037115302","Census Tract 1153.02, Los Angeles County, California"
"6373","416","1400000US06037115401","Census Tract 1154.01, Los Angeles County, California"
"3583","312","1400000US06037115403","Census Tract 1154.03, Los Angeles County, California"
"2800","252","1400000US06037115404","Census Tract 1154.04, Los Angeles County, California"
"5224","486","1400000US06037117101","Census Tract 1171.01, Los Angeles County, California"
"2861","294","1400000US06037117102","Census Tract 1171.02, Los Angeles County, California"
"5191","435","1400000US06037117201","Census Tract 1172.01, Los Angeles County, California"
"2633","256","1400000US06037117202","Census Tract 1172.02, Los Angeles County, California"
"3910","242","1400000US06037117301","Census Tract 1173.01, Los Angeles County, California"
"5229","360","1400000US06037117302","Census Tract 1173.02, Los Angeles County, California"
"3754","297","1400000US06037117303","Census Tract 1173.03, Los Angeles County, California"
"5324","593","1400000US06037117404","Census Tract 1174.04, Los Angeles County, California"
"3574","266","1400000US06037117405","Census Tract 1174.05, Los Angeles County, California"
"3836","303","1400000US06037117407","Census Tract 1174.07, Los Angeles County, California"
"3073","278","1400000US06037117408","Census Tract 1174.08, Los Angeles County, California"
"3687","423","1400000US06037117510","Census Tract 1175.10, Los Angeles County, California"
"4168","305","1400000US06037117520","Census Tract 1175.20, Los Angeles County, California"
"6742","456","1400000US06037117530","Census Tract 1175.30, Los Angeles County, California"
"4435","340","1400000US06037119001","Census Tract 1190.01, Los Angeles County, California"
"7976","677","1400000US06037119002","Census Tract 1190.02, Los Angeles County, California"
"4547","351","1400000US06037119201","Census Tract 1192.01, Los Angeles County, California"
"4759","530","1400000US06037119202","Census Tract 1192.02, Los Angeles County, California"
"4087","328","1400000US06037119310","Census Tract 1193.10, Los Angeles County, California"
"4906","503","1400000US06037119320","Census Tract 1193.20, Los Angeles County, California"
"4264","269","1400000US06037119340","Census Tract 1193.40, Los Angeles County, California"
